Academic Reputation,Employer Reputation,Faculty Student,Citations per Faculty,International Faculty,International Students,International Research Network,Employment Outcomes
15.5,5.2,12.7,22.6,99.8,98.6,75.1,14
12.8,12.3,75.9,14.3,83.5,33.5,59.7,12.2
8.6,5.8,12.1,43,40.7,52.3,75,8.1
15.8,3.4,18.6,36.5,51.8,21.2,92.9,1.3
24.1,12.3,75.9,8.9,13.2,12.9,70.1,6.9
14.9,5.7,13,27.2,94.1,86.9,73.2,7.2
24,52.1,13.3,15.2,61.4,3.7,38.3,19.3
6.1,5,27.1,95.6,2.1,1.1,23.6,2.2
17.3,42.2,9.6,3.2,100,100,48.4,9.8
36.9,6.5,7.9,21.7,17.5,18.2,99.1,15.2
10.1,8.2,9.5,76.3,4.9,2.4,77.3,11
8.4,2.6,18.9,88.8,3.2,1.5,52.2,4.5
26.5,24.9,32,22.1,22.7,10.8,35.6,11.4
15.3,53.9,3,31,42.4,22.7,27.9,34.9
16,31.9,67.8,9.3,14.2,37.8,29.9,13.5
16.2,11.4,87.7,12.1,44,2.6,81.2,10.4
41.1,25.8,13,16.2,5.9,2.7,70.9,1.5
20.3,13.1,50.8,30.5,40.9,5.3,58.7,8.9
7.6,4.6,12.1,81.4,21.3,2.1,59.6,13.6
9,6.7,29.4,20.9,97.1,97.8,44,3.1
11.9,25.3,3.9,49,37.7,1.4,83.5,4.4
16.3,9.4,6.6,50.9,47.9,10.4,77.3,3.7
35.4,24.3,32.3,1.6,2.4,2,45.5,81.6
12.1,46.1,37.4,27.4,11.6,2.1,62.2,23.2
12.7,12.4,7.5,19.4,63.7,85.6,73,1.3
6.8,12.5,15.8,72,29.7,7.4,30.9,17.7
22.3,11.4,57.8,11.5,42,15.5,87,11.4
13.3,4.7,16.2,63.5,24.1,9,72,9
15.9,24.6,14.9,16.7,100,99.8,27.3,8.3
9.4,7.9,6.6,53.9,30,12.6,66.5,16.9
24.9,10.5,22,32.7,29.6,6.1,85.8,4.4
28.2,26.1,4.3,15.8,1.7,4.1,90.5,38.3
17.1,9.4,14.8,15.1,100,98.7,16.9,22.4
7.7,3.2,42.1,64.5,11,1.4,65.1,15.8
22.1,21.2,76.3,6.9,7,24.4,31.3,23
5.4,22,4.9,80.3,0,2.4,56.3,5.7
10.5,11.4,89.5,2.6,98.2,19.7,68.3,2.4
20.4,10.9,3.3,54.1,3.5,4.3,81.1,11.5
20.3,23,23.1,27.8,100,18.8,23.3,2.8
8.9,4.5,14.3,21.5,63.3,81.5,76.9,20.5
11.1,16.7,66.9,20.5,11.1,25.7,52,10.6
21.4,64.5,24.4,1.8,2.9,2.5,23,70.6
19.6,14.2,95.5,2.1,5.4,25.3,86.6,1.9
19.5,44.6,38.2,19.4,32,14.2,25.9,7.2
8.5,6.8,4.8,49.8,78.5,57.7,64.5,4.7
20.1,19.9,33.5,2.7,100,100,14,17.4
18.7,16.5,43.5,19.5,10.5,13.7,57.7,13.8
20.9,36.2,79.7,1.9,2.7,7.5,10.2,65.9
9.9,10.4,16.9,7.1,77,99.9,82.6,10
17.2,5.7,99.9,8.8,0,20.2,94.7,3.9
23.5,9.7,74.8,8.4,0,14.2,84.3,10.5
10.2,15.7,50.3,25.8,54.8,21.2,75.1,9
4,6.1,5.7,86.2,35.2,12.8,30.5,4.8
23.3,51.9,42.6,4.7,2.4,10.3,60.6,9.8
9.1,7.1,6.8,21.7,68.5,97.6,66,34.3
15.7,6.3,50,30.5,15.5,10.3,80.5,17.4
5.5,5.9,3.9,95,1.4,1.1,24.5,6.5
40.8,19.2,28.4,1.9,5.3,22.6,55.4,27.3
13.8,7.6,43.7,18.4,37.4,5.2,86.4,4.2
10.9,10.8,11.8,15.8,70.7,56.2,78.4,14
31.3,5.5,11.5,17.6,27.1,23.3,92.9,16.7
26.9,14.6,26,6.2,6.9,14.9,80,23.4
10.3,3,7.5,25.4,99.9,38.3,58.3,40.6
13,39.2,44,10.3,35.9,33.2,51.1,3.9
23.5,25,39.3,2,100,46.8,13.3,11.3
21.3,5.1,56.1,7,4.5,9,89.5,10.7
8.3,71.6,38.3,2.2,18.7,5,9,85.4
18.8,4.9,12.7,43.7,5.4,9.2,81.2,10.5
3.9,3.9,2.2,36.2,88.7,83.8,51.1,25.8
30.6,19.9,79,2.2,26.3,4.1,8.6,15.1
6.8,2.5,99.9,6.7,25.7,10.3,73.5,83.2
5.8,3.2,44.8,63.8,16.7,5.2,53.4,6.6
22.6,15.7,13.4,5.9,100,100,27.5,5.9
5.9,5,3.4,81.7,1.5,6.8,71.8,5.3
5.8,3.3,82.1,15.4,74.2,25.3,69.6,2.4
21,30.7,18.8,5.6,38.2,67.7,55.5,4.3
23,45.6,11.2,2.9,1.6,1,52,93.7
22,25.4,38.8,8.2,19.4,79.3,34.1,12.3
7.4,5.5,78.5,31.2,39.6,21,61.1,2.9
8.1,11.3,9.6,11.5,99.8,77.6,73.4,6.8
16,10.9,74.3,2.9,14.1,84,64.7,4.9
20.7,12.8,54.7,2.2,100,16,59.7,6.7
18.1,3.7,7.9,48.3,7.4,12,93.7,12.4
15.4,6.3,88.5,9.9,100,5.8,15.9,14.7
23.3,22.6,10.7,6.1,5.2,11,71.3,60.9
14.4,8.1,18.2,29.8,27.4,19.4,88,23.3
5.7,2.5,8.9,89.3,0,0,38.7,3.7
34.8,17.1,17.3,4.2,4.8,4.2,62.5,19.1
29,34.4,10.1,2.2,43.8,29.5,43.7,29.9
18.5,16.8,37,4.8,11.8,41.2,73.1,15
15.6,52.2,4.5,11.6,3.2,1.3,62.2,81.4
5.6,9.3,98.4,13.5,23.9,78.4,34.9,4.2
25.6,18.1,7.2,24.8,10,4.2,71.9,18.4
15.3,22.5,11.8,12.6,20.3,12.9,86.7,16.6
17.9,13.9,34,3.9,10.6,70,76.7,21.4
4.4,2.8,2.9,46.3,81.1,44.8,44.2,4.8
17.5,45.5,56.7,5.1,7.1,19.6,13.8,16
8.9,8.4,95.1,3.7,10.9,82.8,62.7,2
20.6,57,4.7,4.6,36.9,3.9,31.5,53.3
31,14.4,10,28.9,0,1.3,47.4,14.7
17.7,3.4,38.5,28,5.1,21.5,98.5,6
5.2,2.7,8.9,52.7,34,83.1,52.8,6.5
6.9,4.8,11.3,76.5,4.6,7.2,46.6,3.5
15.1,18.1,40.2,1.8,97.3,99.4,12.1,4.2
12.3,14.2,10.2,18.8,100,58.9,20.8,27.1
17.3,48.9,47.8,1.6,47.5,5.3,12,13
12.6,10.2,5.5,24.5,24.5,1.6,93.7,71.2
20.6,18.6,9.8,24.4,6.7,4.5,83.7,21.5
10,14.9,8.1,55.9,33.3,1.7,44.8,2
30.8,40.4,17.6,2.8,1.7,2.1,68.6,3.6
10.6,15.1,10.6,5.1,57.1,74,84.6,12
18.5,7.7,13.1,24.4,46.9,26.4,89.1,1.8
24,32.2,11.3,1.9,23.1,7.5,74.2,56.3
10.5,13,95.5,5.4,20.3,36.2,65.3,1.9
24.6,19.4,26.6,2.1,9.1,1.7,41,84.6
19,41.6,41.4,1.4,34.8,2.2,19.6,33.4
18.4,8.7,41.7,19.1,15.5,3.7,75.6,26.6
13.1,15.9,3.4,43.3,9.7,47.4,60.4,4.9
19.9,9.2,33.3,5.9,4.2,9.7,84.8,97.6
11.8,12.6,8.1,10.1,42.9,37.7,91.7,12.3
19.6,15.8,5.7,12.7,42,8.9,64.6,12.3
13.8,9.4,9.7,28.3,30.4,3.2,71.9,17.3
9.7,2.9,20.8,6.8,96.1,93.7,55.5,15.7
8.6,6.1,12,47.5,25.2,25.9,76.9,5
17.9,15.3,5.8,7.6,70.8,99.2,48.2,12.6
8,8.4,19.7,56.6,3.7,29.9,25,31.4
16.6,8.3,49.8,2.7,100,18,78.3,2.2
13.9,12.7,2.4,58.7,2.3,3.5,57,3.6
12.8,11,14.1,35.9,19.2,97.3,18.9,12.2
20.1,37.8,17.1,2.2,26.5,21.8,13.3,91.1
10.2,5,92.2,7,4.6,35.9,71.4,29
15.6,7.1,26.5,21,15.9,14.9,83.7,8.6
17.7,10.8,44.7,15.6,0,8.4,90,14.3
10.6,12.5,90.4,18.9,16,13.7,22.9,8.1
32.4,16.2,10.8,7.5,12.6,1.6,44.5,68
23.1,21.6,19.7,3.7,100,23,35.1,5.1
13,29.3,25.7,7.3,14.8,67.3,78.8,12.7
5.6,2.1,3.5,26.5,90.1,100,55.2,24.1
9.3,12.5,62.2,1.6,92,100,6.8,4
5.7,3.7,51.3,11.3,96,87.8,35.6,9.2
5.7,4.2,4.5,44.2,25.4,55.2,41.3,3.9
9.7,5.8,60,5.6,10.6,44.9,77.1,7.7
12.9,9.5,8.8,36.3,19.9,22.2,86.7,6.1
11,4.3,68.3,8.9,69.3,7,78.4,5.6
19.5,37.3,16.3,7.9,6.6,4.9,24.3,81.2
7.5,4.8,18.9,43.2,45.9,22.6,64.5,8.3
17.6,18.4,24.3,8.6,100,1.9,50.8,20.9
18.5,28.7,89.5,1,12.9,16.2,4,3.2
28.1,25.3,2.8,3.5,5.3,9.9,68.8,72.8
12.8,10.2,31.5,10.8,60,18.3,83.3,45.6
26.2,22.4,14.8,6.7,10.6,1.7,61.1,12.5
12.2,14.3,77.2,10.9,9.7,13.7,23.9,13.1
13.7,15,68.9,17.9,9.3,24.2,18.8,4.2
8.1,7.3,8.6,15.1,74,85.3,75.4,8.9
6.3,4.3,71.6,41.9,5.1,4.5,27.7,2
9.8,6,84.7,9.7,9.9,10.8,75.4,26
21.3,16.2,21.2,16.6,12.5,18.8,50.8,42.2
8.9,18.3,48.8,35.3,1.4,2.5,44.2,14.4
3.4,1.7,8.6,79.7,1.7,2.8,24.1,21.1
16.6,55.7,7.8,3.1,28.4,9.6,30.9,3.9
22.5,29.4,10.8,7.1,4,3.5,72.1,22.2
5.2,4.8,24.3,32.5,47.1,27.8,44.5,29
21.5,28.2,22.9,14.4,11.6,10,30.4,10.2
14.6,4.2,15.6,33.9,11.7,8.1,81.2,19.3
14.3,8,37.8,16.5,46.7,3.3,66.5,30.5
8,11.6,62.2,17.3,18,65,32.9,4.4
19.5,7.3,32.8,19,2.4,3.5,90.8,22.8
22.6,52.4,10,4.5,1.9,2.5,22.2,47.4
6.9,3.4,11.8,69.7,2.5,1.7,39.6,10.5
6.6,2.6,15.9,63,6.2,2.5,47.4,16.8
5.4,95.6,19.7,1.8,16.1,3.6,16.7,5.2
24.1,10.8,12.4,17,2.6,5.5,78,11.3
15.2,13.9,29.9,8.5,32.7,17.8,87.3,6.8
16.3,7.3,23.8,4.1,1.7,3.3,91.6,96.9
12.7,11.4,5,24.6,23.9,19.8,71.6,50.3
11.5,21.3,81.2,1.6,32,47.9,12.6,1.7
9.4,5.9,18.5,20.3,44.6,46.5,65.9,7.1
21.1,23,25.3,11.5,8.8,8.4,32.2,28.4
8.9,8.9,11.6,25.9,49.8,36.2,80.1,7.3
7.2,5.9,10.1,28.6,23.9,78.4,74.1,12.1
13.6,15.9,29.6,12,0,43.2,73.1,32.8
19.9,35.6,8.9,4.7,6.1,4.4,93.1,22
14.2,18,45.7,2,3,8.5,61,81.8
12.8,8.5,56,3.5,3.8,22.9,60.2,79.8
27.1,13.7,14.2,1.6,7.9,2.3,62.4,87.7
5.8,1.5,12.8,42.6,72.3,37.4,49.3,3.4
11.8,6.5,100,17.7,2.4,13.4,21.9,2
6.9,5.9,2,47.8,18.7,49.6,49.7,27.2
24.4,17,13.4,3.1,22.8,57.1,62.5,23
13,5.9,14.6,32.1,13.4,3.6,67.2,22.9
19.9,10.9,11.7,10.7,45.4,26.1,63.9,31.9
32.4,8.9,13.8,7,8,1.5,64,39.7
13.1,6.4,80.1,7.4,0,8.8,90,4.8
7.8,6.1,7.5,48.1,46.4,2.7,50.1,22.9
19.9,16.4,85.2,1.1,19.6,22.6,6.5,3.3
26.5,22.8,53.8,1.1,37.8,3.7,4.1,12.6
12.3,7.1,29.2,16.9,3,5.7,77.2,23.2
15.6,11.1,61.3,10.6,7.8,6.8,35.3,2.8
4.9,8.3,19.9,27.5,61,34.1,48.7,17.3
6.2,4.4,18.2,71.1,1.2,1.5,13.7,2
6.5,5.3,14.7,31.7,100,13.9,54.3,11
13.1,5.1,12.8,12,92,91.5,25.1,14.4
16.6,14.8,18.9,2.5,94.5,38.4,64,2.3
3.5,1.6,14.1,68.5,0,0,52.4,10.1
6.3,11.6,1.6,61,2.5,1.1,66.7,2.4
4.4,2.2,7.4,56.3,2.6,6.3,55.5,3.3
28,5.3,12.8,10.1,2.2,1.6,80.1,25.9
10.5,5.1,95.6,6,4.7,1.5,54,2.9
13.6,3.5,9.7,40.4,2.9,10.8,61,9.3
5.8,4.3,100,8.5,0,0,74.7,18.6
6.9,5.4,4.6,60.7,1.2,2.2,54.3,14.1
4.7,4.1,4.1,11.7,91.5,100,78.2,14.9
9.9,20,75.4,1.2,17.4,2.5,20.1,68.7
14.1,51.3,24,1.4,37.6,15.3,37.4,1.9
10.6,5.8,16.9,30.4,21.5,7.1,73.1,7.2
7.9,10.5,83.6,9.7,9,23.8,36.5,4.8
13.5,20.3,29.1,3.7,73.3,19.6,36.5,19.9
10.2,9.8,15.6,31.1,21.8,5.7,69.3,22.3
4.1,2.8,9.1,71,0,1.8,34.5,3
18.9,36.6,27,2.2,1.5,3.9,40.3,45.5
4.5,1.8,19,67.1,2.5,1.7,37.2,2.4
2.6,4,5.2,41.7,53.2,96.4,18,7.8
10.4,6.7,9.4,10.8,29,73.5,75.8,3.9
5.3,4.8,5.6,8,74.2,97.5,62.8,6.4
11.7,30.5,13.4,18.2,1.5,1.4,88.3,6.1
14,19.1,49.8,2.3,3,16.2,51.9,38.5
16.2,29.3,32.9,4.3,8,19.4,30.6,40.5
9.9,6.5,13.9,11,100,98.9,15.6,3.7
5,6.4,5.2,51.7,9.9,1.4,90.7,4.7
16.7,8.4,31.7,3.8,100,42.7,9.3,12.7
5,1.9,7.5,67.6,0,1.5,48.2,1.4
6.2,9,74.2,13.8,7.9,43.1,44.7,9.2
6.5,2.1,100,12.4,0,0,76.7,3.2
9.1,28.8,2.8,30.9,2,2,18.3,81.4
8.2,16.4,50.7,2.4,91.3,25.8,13.1,33.4
7,8.1,61.8,17.1,9.5,17.7,46.8,9
15.6,25.7,13.7,8.5,2.8,14.8,56.6,33.2
8.6,4,2.9,49.7,4,3.6,53.3,15.2
17.8,5.9,9.1,40.6,0,1,32.5,14.9
23.5,5.5,4.8,14.7,14.6,15.8,93.3,4.5
19.2,41.7,19.3,1.5,27.9,3,27.4,14.6
8.1,4.5,22.4,28.7,12.6,23.8,73.4,25.1
8.1,2.5,25.2,45.2,2.3,1.5,64,4.4
14.9,5.2,11.6,28.3,11.9,11,88.1,6.8
11.5,26.8,22,3,15.7,72,29.9,35
5.3,5.3,8.1,10.6,84.4,99.5,58.3,15.2
11.7,4,3.6,43.3,7.3,7.9,70.4,14.6
6.4,2.3,15.2,37.9,7.2,19,77.5,1.8
15.5,4.1,5.7,18.3,29.3,38.3,78.4,8.9
17.6,8.4,4.6,5.3,2.8,4,95.2,96.4
6.9,6.1,2.4,34.1,32.7,41.5,44.9,6.4
11.1,13.5,3.8,15.6,13.2,43.7,67.3,34.3
10.8,5.3,15.8,35,22.1,8.6,54.7,4
9,9,7.5,11.9,46.9,75.3,76.1,2.1
13.7,23,2.9,23.6,9.5,4.3,72.2,9.2
11.7,3.3,87.5,1.4,6.3,60,18.8,1.9
10.4,16.8,41.8,2.4,26.7,47.8,48.1,21.6
12.6,16.9,64.6,1.4,3.3,55.7,29.4,4
10.3,6,80,6.1,0,8.5,69.1,15.3
11.5,6.8,5.7,5.1,77.4,100,35.4,21.7
5.1,6.3,100,8.6,3.2,10.9,42.8,15.4
8.4,2.3,14.2,36.7,1.3,6,75.6,1.6
25.3,7.9,7.1,4.2,10.8,1.5,67.5,29.6
11.2,18.5,31.1,7.9,3.5,28.6,64.2,23.2
10,43.2,18,6.7,1.1,1.8,41.6,47.7
10.9,14.3,55.5,5.5,0,24.2,66.4,12.6
5.9,2.8,10.1,48.4,4.9,6.3,77.7,1.9
10.4,51.5,9.4,10,12.5,3.7,20.3,41
6.1,4.6,31.7,7.2,18,19.2,75.9,95.9
17.1,6.5,5.5,21.4,24.7,1.1,56,49.8
11.7,17.1,2.7,27,1.4,4.8,60.6,3.7
11,6,19.4,22.9,4.3,12.4,69,25.3
8.2,6.1,100,3.6,3.4,8.1,45.7,5.6
5.5,3.4,12.4,57.8,5.3,3,39.7,1.4
16.4,12.7,14.5,2.7,98,3.9,59.3,8.7
16.9,36.6,13.6,14.9,0,1,25.1,22.2
10.2,6.8,14.1,13.5,49.8,25.8,45,4.5
15.8,28.5,24.2,2.5,7.2,2.7,31.8,41.1
9.1,2.7,4.1,41.6,4.5,4.2,71,3.1
9.4,4.3,26,5.1,39.5,7.8,82.1,54.1
14.3,11.9,41.4,2.8,9.3,64.3,40.3,4
16.6,8.5,66.1,8.8,7.5,4.3,28.9,3.8
5.8,6.4,6.1,16.4,80.3,47.1,72.6,4.8
5.1,1.4,53.6,31.8,1.5,2.7,67,1.4
6.4,9.3,58.8,1.7,0,0,55.2,95.5
10.9,10.6,6.2,11.3,36.6,9.6,70.5,13.7
19.3,4.8,19.2,8.5,4.1,2.2,62.1,17.3
15.5,19.5,5.3,4.4,7.8,3.8,80.1,26.7
25.2,18.6,6.5,2.5,4.3,1.3,51.9,18.5
11.5,16.7,5.9,5.3,12.1,5.1,71.5,90.4
10.6,5,33.9,1.8,98.3,7.9,68.3,2.4
7.1,7,3.4,37.3,35,33.7,43.7,6.1
5.4,6.6,75,2.7,65.9,12.8,41.4,5.3
25.5,15.8,5.2,1.3,89,2.5,11.8,20.4
12.7,16.1,7.3,18.9,8.9,2.9,76.9,6.1
4.8,6.7,10.2,30.4,31.5,52.9,29.1,5.1
10.5,8,43.5,14.9,8.2,4,73.1,7.3
11.1,9.8,15.3,23.5,12.9,3.3,75.4,13.9
6,4.4,14.4,26.2,51.6,30.7,62.9,6.9
7.6,3.4,62.1,10.6,13.3,5.4,73.6,19.4
29.1,20.8,4.1,4.3,3.7,1.2,48.1,20.4
19.1,28.8,9.1,2,2.2,1.1,46,6.8
13.5,6.7,25.3,7.7,7.3,12.8,71.7,7.6
11,19.7,8,20.4,2.2,2.5,37.6,25.4
10.1,4.9,17.5,17.6,25.3,32.7,27.9,36.9
14,30.9,12.4,5.8,12.7,4.9,45.5,3.8
12.4,3,4.6,25,4.9,2,81.6,7.7
15.2,19.5,7.1,4.2,2.6,2,69.1,53.4
16,8.6,40.1,2.4,53.1,1.9,24.9,13.2
8.6,2.4,5.6,37.1,3.3,1.6,87.4,4
14.7,7.9,6.8,2.9,20.4,19.4,39.3,93.8
18.3,9.4,9.4,18.5,7.6,3.6,53.4,23.3
3.3,2.9,9.1,4.4,87.1,96.8,47.6,8.5
10,6.8,8,12.3,46.7,22.4,87.7,5.4
13.6,3.3,7,12.9,27.6,27.4,95.9,14.8
12.9,8.7,11.6,10.6,5.8,39.3,55.5,42.7
9.1,2.3,3.5,40.9,6.4,5.4,65.9,1.7
19.2,42.4,11.5,1.4,13.7,1.4,19.6,13.1
23.1,18.3,4.5,2,1.7,4.8,76.4,24.3
4.5,2.9,98.6,14.1,3.8,22.5,10.5,1.9
7.9,6.1,8.5,14.9,54.8,51.1,72.5,6.1
10.4,7.7,9.2,12.7,87.4,16.7,48.5,9.2
11.3,4.2,13.2,11.2,35,39.4,81.4,12.2
5,2.3,60,33.6,2,2.4,28.8,3.8
12.7,8.8,5.2,25,14.9,20.7,61.6,4.8
7.1,5.8,84.6,5,0,0,69.6,10
16.2,31.8,37.4,1.5,1,2,20.4,21.3
5.4,2.7,9.4,50.5,3.2,1.9,51.1,3
14.1,16,28.1,6.2,22.4,17.1,61.1,6.8
7.3,2.9,84.4,5.2,0,13.2,68.8,4.4
11,16.9,24.6,1.5,2.4,1.1,63.5,72.7
20.2,16.8,7.8,2.6,2.3,4.6,70.6,53.5
4.2,2.1,6,59.7,3.7,1.6,31.6,3
2.7,2,98.8,12.9,4.8,3,42.6,4.2
5,5,4,11.8,77.5,86,60.1,4.9
5.9,1.8,3.6,52.5,9.9,3.2,57.1,2
7.7,4.9,38.2,33.1,4.7,1.8,31.9,4.2
27,24.4,4.7,6.6,11.3,1.6,39.9,8.7
9.6,10.1,9.4,2.7,75.5,100,16.9,4.6
16.7,27.9,44.6,1.2,7.1,16.3,3.2,7.7
6.9,2.5,11.5,47,0,2.5,51,5.8
7.6,2.5,79.4,1.8,21.8,40.2,35.2,1.9
13.2,3,14.5,41.5,1.9,2,27,3.1
9.3,4.7,45.4,12.4,9,7.3,28.5,4.7
10.5,3.8,34.4,4.3,7,3.6,80.2,11.9
5.1,5.4,8.2,8.1,45.4,47.9,53.4,7.4
9.7,24.7,4.2,12.2,9.1,18.5,38.9,19.9
7.4,11,4.9,14.9,6.6,2,92.9,16.7
12.6,13.1,12.3,3.1,31.8,38.8,43.9,16.2
6.7,2.6,2.6,34.6,2.9,3.6,70,4.1
8.8,7.8,46.3,10.7,7.2,9.2,32.7,5
12,6.2,34.9,3.9,4.8,2.4,70.6,14.1
8.9,3.7,61.3,7.7,6.1,6.3,52.5,2.9
8.1,4.5,5.4,33.9,3.9,7.2,66,4.2
4.7,4.4,8.8,46.1,5.2,1.8,31.1,3.1
8.2,6.7,10.3,22.1,10.1,4.6,74.9,13.5
5.9,4.7,7.9,9.9,74,47.2,58.5,4.8
15.3,7.6,1.8,10.9,32.9,11,62.6,21.6
8.3,8.1,9.2,13.3,49.9,6.1,66.8,17.3
14.9,12.6,32.1,3.9,5,8.4,54.3,12
7.1,8.5,38.8,12.8,9.7,3.2,73.5,8.2
6.8,4.2,18.8,16.9,54.7,7.6,43,23.4
11.5,7.6,1.9,5.3,4.5,1.7,72.8,95.4
10.4,3.4,7.8,21.4,19.8,15.1,87.3,2.8
11.3,14.2,4.3,22.4,4.8,10.4,62.3,18.2
15.3,18.7,7.6,2.4,5.5,1.2,61,60.1
11.1,2.3,4.4,32.2,2.4,1.9,81.6,4.5
10.6,7.2,1.1,7.3,0,7.3,91,92.8
5.8,14.6,12.7,1.7,61.5,66.8,30.6,23.5
12.8,39.9,12.5,1.3,34.9,5.8,18.1,14.1
12.3,8.5,44.3,7.2,0,14.1,66.2,3.8
6.9,2.3,81,6.3,5.8,4.7,49.2,3
4.4,3.7,5.9,5.2,62,100,58.8,10.1
8.7,13.8,37.7,7.8,14.7,32.9,41.4,6.9
9.9,15.7,28.6,3.1,39.3,59.7,10.4,4.6
9.6,13.9,41.5,6.5,2.9,5.3,75.6,3.2
4.2,2,83,5.5,6.1,2.9,58,3.6
9.3,3.1,33.6,26,3.2,5.2,43,1.9
4.5,1.4,28.5,36.8,0,1.4,58.8,3
7.9,7.3,4.1,33.3,1.6,1.6,64.7,19
3.7,2.5,49.5,5,47.2,45.9,46,1.5
13.8,7.4,12.9,30.5,5.4,7.1,40.4,1.9
1.3,1.9,13.5,41.8,48.5,15,30.6,7.9
9.7,7.7,84.6,1.1,10,18.8,2.4,5.8
6.2,6.5,55.1,4.1,11.2,32.1,59.1,3.8
5.6,2.2,94.3,6.4,1.9,7.9,31,3.3
9.5,6.7,7.8,12.9,8.6,3.8,52.3,18.8
11.7,2.9,24.5,6.8,1.7,3.9,79.8,3.7
8.9,5.3,9.4,18,2.1,4.8,79.9,3.8
6.8,2.3,5.5,22.6,8.3,6.2,81.4,1.7
18.6,15.3,6,4.4,1,3.3,56,18.2
17.4,8,2.2,12.1,8.5,4.2,62.5,7.1
10.9,8.2,42.9,4.4,1.8,7.7,61.2,6.2
8,6.6,29.2,6.8,1.8,13,61,33.4
3.7,11.5,5.6,5.3,62.6,74.1,35.8,5.6
13,13.6,11.9,6.1,9.3,30.2,27.8,43.2
6.8,3.9,6.4,6.9,36.7,69.8,63.6,9.6
12.9,42.8,4.9,2.3,3.1,1.4,11.3,44.4
18.8,24.6,5.7,2.1,4.2,1.1,45.7,24.9
11.6,3,5.4,23.4,3.5,4.5,71.3,5.7
11,4.2,3.4,4.5,9.6,7.5,64.8,98.3
8.2,8.9,5.1,12.1,71,41.7,33.9,1.7
4.6,1.2,5.6,43.6,13.7,10.4,32.4,2
5.8,4.2,56,16.8,0,0,54.5,1.7
4.8,3.7,27.1,28.6,11.4,11.1,52.1,3.1
11.5,4.1,39.5,3.4,4,11.3,70.9,16.3
3.5,5.2,17.4,26.2,42,23.5,25.6,8.3
10,11.7,20.1,1.8,0,0,50.1,92.5
7.6,2.6,53.2,4.9,3.1,5.3,81.3,3.1
26.4,14,6.2,1.6,1.4,1.5,44.4,10.1
10.5,3.9,55.1,12.2,8.1,5.8,31.9,1.8
8.4,4.7,44.1,3.6,4.5,13.4,84.1,4.2
8.4,8.8,74.7,1.7,3.8,2.3,10,22
8.6,15.1,21.4,5.6,65.3,16.3,17.8,8.5
13.3,48.1,6.1,2.7,7.9,1.1,24.5,6.6
5.2,1.9,39.4,2.4,100,3,43.3,2.3
3.2,2.6,10.2,49.3,4.7,1.7,18.7,13.5
11.7,18.9,33.7,5.3,3.4,5,55.5,3.2
9.7,5.4,15.2,31.8,4.7,9.6,29.1,9.6
9.1,25.3,11.9,5.1,47.3,50,6,5.1
3.3,2.5,3.9,21,7.3,38.3,39.1,4.1
13.2,6.3,13.3,8.5,9.5,3.2,36.9,2.6
14.1,12,3.3,2.6,6.7,5.7,74.7,4.4
6.7,3.6,51.6,4.5,2.3,7.2,44.9,2.8
17.2,10.7,7.4,4.4,5.3,2.3,50.9,4.4
21.6,5.6,16.4,3.3,5.3,1.9,40.3,3.9
11.1,19.4,12.3,3.3,4,3,61.4,2.7
13.1,18,2.5,3.2,1.1,1.2,19.3,69.6
7.3,7,12.6,15.2,11.6,5.2,78.5,7.7
7.1,7.7,7.6,17.2,27.6,6,54.7,16.4
5.4,7.4,42.2,7.8,7.7,5.8,32.7,25.6
23.6,11.3,3.7,2.5,7.8,1.2,45.6,4.6
7.1,2.8,55.2,12.6,7.2,3.5,35.1,2.9
9.8,33,3.2,5,13.8,1.6,41.6,13.1
14.1,20.1,3.1,2.6,7.3,8.8,45.3,33.8
10,20.3,5.3,11.9,5.3,2.5,54.9,10.7
2.6,2.5,18.9,16.7,13.2,84.7,20.2,13.6
5.2,2.3,56,5.7,21.5,11.4,55.3,1.6
10.6,3.9,26.5,12,0,0,84.2,4.8
12.7,19.9,21.9,1.8,34.5,10.8,8.6,11.7
5.3,9.9,39.3,1.6,4.7,19.4,32.4,47.7
12.5,21.8,19.9,2.1,34.7,4.3,10.7,12.9
6.3,7.7,12.9,12.6,0,33.2,54.5,35.5
7.6,29.3,1.7,20,1.6,3.1,14,20.9
9.5,2.7,2.9,25.4,3.8,9.1,69.4,9.2
13.1,9.9,27.5,2.7,21.3,38.3,21.1,3.9
8.6,5.3,4.1,14.1,25.2,3.7,76.8,21
4.3,3.5,10,50.2,1.5,1,6.8,2.1
4.9,3.2,85.3,3.8,4.6,3.1,18.4,5.7
13.4,4.6,1.7,6.2,25.5,50.2,52.6,6.1
7,6,3.5,28.2,1.3,7.1,71.7,5.2
5.5,2.6,21.1,7.2,87.1,7.2,60.8,1.9
4.4,2.6,53.2,13.5,12.7,11,28.7,9
3.8,2.9,13.4,26.9,34.2,7.5,43.9,2.7
5.4,4.9,10.9,3.8,35.5,82,53.9,2.1
9.5,4.1,4.2,29.3,0,0,61,3.9
12.9,5.5,41.7,1.4,5.3,2.2,16.7,47.7
13,7.7,64.2,1.2,14.4,2.5,2.4,3.5
6.6,3.8,67.9,1.9,2.9,25.2,40.1,1.8
16.4,18.1,8.4,2.8,12.2,2,22.6,38.6
5.6,3.5,6.7,16.2,5.2,2.6,48.9,11.8
4.6,5.1,4.5,9.8,1.9,29.6,61.6,8.1
